last_name,cnt
Pietrzykowski,183
Pietracaprina,173
Picht,189
Picel,195
Picco,198
Picci,175
Picaronny,176
Piazza,170
Piancastelli,169
Pfau,200
Pezzoli,166
Peyn,190
Pews,202
Pettit,182
Pettis,216
Pettey,174
Petersohn,189
Peternell,173
Petereit,185
Pesch,167
Perz,172
Perry,188
Perri,177
Peroz,181
Peron,191
Pero,164
Perng,206
Perna,173
Perly,189
Perl,183
Perko,168
Peris,177
Perin,165
Perfilyeva,189
Perez,201
Peres,178
Perelgut,166
Percebois,182
Peral,177
Pepe,179
Peot,183
Penz,188
Penttonen,203
Penn,170
Peng,182
Pena,173
Pelz,197
Peltason,194
Pellegrinelli,160
Pell,172
Pelc,201
Peir,186
Pehl,192
Peha,174
Peek,212
Peck,177
Pearson,159
Peak,191
Peac,183
Pavlopoulou,187
Pauthner,171
Passino,183
Passafiume,176
Pashtan,198
Parveen,198
Parhami,189
Pargas,189
Pargaonkar,168
Parfitt,191
Pardalos,176
Parascandalo,192
Papsdorf,195
Pappas,165
Papastamatiou,175
Papadias,196
Panwar,184
Panienski,208
Panangaden,205
Paludetto,183
Pagter,179
Paciorek,185
Ozery,156
Ozeri,179
Ozeki,184
Oxman,174
Oxenboll,183
Ouhyoung,195
Otillio,200
Ossenbruggen,181
Oskamp,174
Osgood,220
Orsini,189
Orlowski,185
Orlowska,173
Oppitz,197
Openshaw,185
Onuegbe,205
Olivero,176
Olano,183
Ohori,197
Oehlmann,163
Oberman,188
Oaver,167
Nyrup,172
Nyanchama,187
Nourani,177
Norsworthy,200
Noriega,191
Nooteboom,181
Nollmann,151
Nivat,162
Nitto,159
Nittel,162
Nitta,180
Nitsche,177
Nitsch,173
Nishimukai,197
Nilsson,160
Niizuma,163
Nicolson,167
Nergos,171
Neimat,199
Neiman,218
Negoita,179
Navazio,171
Naumovich,182
Naudin,183
Nations,167
Nastansky,185
Narwekar,188
Narlikar,184
Narahari,166
Narahara,185
Nannarelli,200
Nanard,194
Murthy,167
Murtha,188
Murtagh,175
Murtafg,178
Murrill,166
Murillo,182
Muntz,195
Munro,160
Munoz,183
Munos,181
Munke,195
Muniz,172
Mungall,171
Mundy,162
Munck,180
Munch,190
Munawer,199
Mullainathan,177
Mukaidono,201
Muhling,187
Muhlberg,185
Muchinsky,199
Msuda,182
Motley,179
Morton,172
Morrow,201
Morris,169
Morrin,193
Morrey,213
Montresor,168
Montemayor,184
Monkewich,177
Mondadori,180
Monarch,196
Molenkamp,189
Molenaar,175
Molberg,183
Moffat,190
Moehrke,164
Miyakawa,176
Mitzlaff,200
Mitsuhashi,159
Mitina,188
Mitchem,186
Minakawa,169
Millington,189
Milicic,187
Milicia,175
Mikschl,197
Middleton,187
Miculan,159
Michaels,199
Michaeli,196
Miara,197
Miake,191
Meszaros,186
Mersereau,172
Merro,147
Merlo,177
Merli,186
Merle,162
Merks,199
Merkl,190
Meriste,196
Merey,196
Merel,197
Menyhert,176
Menhoudj,192
Menhardt,183
Melton,193
Melter,173
Melski,194
Mellouli,195
Melichar,193
McFarlin,198
McFarlan,166
McDermid,186
McConalogue,201
McClurg,200
McClure,179
McAlpine,172
McAffer,180
Mayerwieser,181
Mawatari,199
Matzov,205
Matzke,177
Matzen,198
Matzel,163
Matzat,182
Mattern,180
Matteis,175
Matheson,195
Mateescu,170
Massonet,184
Masand,196
Masamoto,173
Masaki,184
Masada,218
Marzano,160
Marwedel,166
Marsiglia,166
Marshall,189
Marrevee,185
Marrakchi,195
Marquardt,191
Marletta,170
Markovitch,181
Marciano,165
Marchesini,179
Marchegay,173
Marakhovsky,205
Maraist,200
Maquelin,189
Mapelli,191
Mansanne,183
Manders,195
Manderick,189
Mandell,218
Mandelberg,156
Mamelak,162
Malinowski,204
Maliniak,192
Malabarba,209
Maksimenko,215
Makrucki,188
Makinen,180
Majewski,188
Maierhofer,199
Mahnke,216
Mahmud,181
Magliocco,178
Maginnis,169
Magalhaes,177
Madeira,190
Macedo,164
Maccarone,169
Lyonns,160
Lupu,179
Luon,179
Lunt,209
Lunn,175
Lung,167
Lundstrom,186
Lund,170
Luks,164
Luke,176
Lukaszewicz,176
Luiz,166
Luit,181
Luga,179
Luft,195
Luff,183
Lueh,169
Luef,163
Luders,204
Luck,182
Luce,210
Luca,197
Luby,192
Lubachevsky,202
Luan,188
Lowrie,208
Lovengreen,183
Lorys,189
Lortz,182
Lorin,190
Lorie,161
Lorho,203
Lores,175
Lorcy,184
Lorch,185
Loncour,176
Lodder,171
Llado,196
Litzler,171
Litzkow,161
Litvinov,184
Litecky,189
Lipner,187
Linnainmaa,193
Lindqvist,190
Lindenbaum,200
Linares,204
Limongiello,170
Ligten,180
Liesche,190
Lienhardt,175
Liedekerke,186
Lieblein,179
Lieberherr,176
Lichtner,181
Lichtman,183
Levergood,161
Levasseur,178
Leuchs,189
Leslie,190
Leppanen,157
Leonhardt,173
Lenart,187
Lemarechal,158
Leivant,187
Leijenhorst,163
Legleitner,204
Leaver,196
Laventhal,189
Laurillard,175
Larfeldt,191
Lanzelotte,189
Lanteri,173
Lanphier,205
Langford,195
Landherr,198
Lampe,168
Lamparter,209
Lammel,182
Lamma,200
Lambe,165
Lamba,207
Lalonde,198
Lally,185
Lakshmanan,168
Lagarias,178
Ladret,179
Kuzuoka,181
Kuszyk,194
Kushnir,168
Kushner,191
Kusalik,187
Kusakari,184
Kusakabe,194
Kumaresan,195
Kulisch,215
Kuhnemann,195
Kugler,176
Krzyzanowski,186
Krychniak,179
Krybus,201
Kruskal,173
Krupka,177
Kropp,185
Kropf,171
Kropatsch,175
Kroon,160
Krone,183
Kroll,182
Krohn,175
Krohm,191
Kroha,163
Krogh,182
Kroft,181
Kriebel,189
Krider,158
Krichel,185
Kranzdorf,186
Kragelund,163
Koyama,183
Kowalchuk,180
Kossowski,178
Koshino,186
Koshiba,183
Kornyak,202
Kornatzky,187
Koprowski,158
Kopetz,161
Kolvik,169
Kolinko,179
Kohling,190
Kobuchi,184
Koblitz,184
Koblick,182
Kobara,194
Knightly,177
Klyachko,179
Klerer,183
Kleiser,193
Klassen,190
Kitsuregawa,211
Kitai,185
Kisuki,192
Kirkerud,203
Kinley,170
Kilgour,202
Kilgore,191
Kieras,177
Khasidashvili,209
Khamsi,198
Khalil,191
Khalid,191
Keustermans,195
Kermarrec,178
Keohane,190
Kenevan,171
Kemmerer,192
Keirsey,170
Kawashimo,188
Kawashima,199
Kavvadias,186
Kavraki,182
Kavanagh,201
Katzenelson,188
Katiyar,198
Katalagarianos,179
Karunanithi,184
Karnin,202
Karner,199
Karlin,163
Karcich,197
Kandlur,166
Kampfer,197
Kaminger,191
Kamble,188
Kambil,191
Kamber,211
Kaltofen,184
Kalsbeek,175
Kalorkoti,201
Kalloufi,195
Kalefeld,172
Kalafatis,180
Kakkar,196
Kakkad,185
Kaiserswerth,171
Kaiser,187
Kaelbling,200
Kading,163
Kadhim,163
Kabayashi,153
Junot,169
Junet,193
Juneja,194
Jumpertz,182
Jullig,190
Journel,169
Joslin,188
Jording,176
Jonsson,197
Jiang,197
Jiafu,165
Jervis,190
Jeong,168
Jenevein,208
Jeansoulin,184
Jayawardene,177
Jarecki,178
Jansen,188
Jansch,160
Janocha,169
Janetzko,172
Jakobus,193
Jahnichen,189
Iwayama,200
Itzigehl,200
Itzfeldt,190
Itschner,174
Ishibashi,203
Isard,187
Isaak,171
Isaac,184
Irland,194
Improta,178
Impagliazzo,188
Imataki,200
Iivonen,194
Iisaku,175
Iisaka,181
Ibel,184
Iacovou,186
Huxford,181
Hutton,192
Hutter,171
Huttel,189
Huhdanpaa,173
Horswill,189
Hoppenstand,200
Hopewell,155
Hooghiemstra,183
Hoogerwoord,191
Honiden,175
Honglei,184
Homond,165
Holburn,184
Hofting,194
Hofstetter,196
Hofmeyr,183
Hofman,199
Hockney,179
Hmelo,159
Hiyoshi,198
Hitomi,199
Hiroyama,200
Hiraishi,194
Hinsberger,187
Himler,170
Hiltgen,187
Highland,189
Heystek,200
Heyers,192
Heydon,172
Heuter,192
Heuser,196
Heusch,181
Hettesheimer,199
Hertweck,193
Herbst,203
Herber,212
Herath,177
Heping,176
Henseler,172
Hennings,174
Hennebert,158
Henders,183
Hempstead,165
Hemaspaandra,170
Hellwagner,190
Heiserman,184
Heinisuo,172
Heijenga,160
Hegner,164
Heering,188
Heemskerk,184
Hedayat,186
Hebert,206
Hebden,179
Haumacher,194
Hatcliff,179
Hashii,171
Hasham,191
Hasenauer,176
Hartvigsen,196
Harnett,170
Harllee,184
Hardjono,195
Harbusch,181
Haraldson,190
Hanratty,190
Hanabata,189
Hammerschmidt,200
Hambrick,184
Halloran,176
Halevi,172
Haldar,183
Hainaut,176
Hagimont,164
Haddadi,191
Gyorkos,168
Gyimothy,186
Guting,197
Gustavson,196
Gurbaxani,185
Gunderson,181
Gulla,164
Gulik,200
Gulak,186
Guerreiro,163
Guenter,182
Gubsky,171
Guardalben,148
Gruenwald,185
Grospietsch,196
Gronowski,195
Griswold,180
Greibach,176
Greenaway,165
Granlund,197
Grandbois,182
Grabner,168
Gornas,197
Gopalakrishnan,176
Goodrum,190
Gonthier,151
Gomatam,191
Goldhammer,186
Godskesen,187
Gniady,168
Gluchowski,182
Glowinski,172
Glinert,169
Gladwell,168
Giveon,186
Gist,193
Gischer,165
Gire,167
Gips,167
Ginneken,178
Gini,173
Ginesta,164
Gimbel,200
Gimarc,173
Gils,189
Gill,184
Gilg,181
Gihr,202
Gien,184
Gide,172
Giarratana,158
Giaccio,181
Ghemri,211
Ghelli,191
Ghazalie,198
Ghandeharizadeh,203
Ghalwash,185
Gewali,209
Gerteisen,185
Gerlach,209
Georgatos,148
Georgakopoulos,163
Georg,174
Genther,201
Gente,211
Genin,152
Gelosh,223
Geffroy,205
Gecsel,174
Gecsei,208
Gecseg,179
Gaughan,206
Garrabrants,212
Garnier,207
Garnick,188
Garnham,205
Garigliano,187
Gargeya,189
Gammage,199
Gajiwala,196
Gadepally,173
Furudate,184
Furedi,191
Fujisawa,181
Fujisaki,194
Frolund,194
Fritzsche,167
Frijda,171
Frezza,177
Francisci,189
Fraisse,185
Fortenbacher,199
Fordan,174
Foote,206
Foong,179
Foolsday,1
Fontet,170
Fontan,192
Flowers,209
Flexer,175
Flasterstein,181
Flanders,173
Fiutem,174
Fioravanti,180
Figueira,178
Fiebach,189
Fetvedt,181
Ferriere,169
Ferretti,189
Fendler,175
Feldmann,184
Feldhoffer,177
Felder,178
Felcyn,187
Feinberg,203
Fasbender,180
Farrow,166
Farris,222
Farrel,170
Farrar,189
Farrag,179
Fargier,200
Fandrianto,172
Famili,187
Falster,170
Falco,179
Falck,176
Falby,178
Fairtlough,191
Fadgyas,183
Facello,186
Fabrizio,180
Eugenio,187
Eterovic,182
Etalle,174
Esteva,164
Esposito,184
Escriba,183
Erva,156
Ertl,192
Erol,180
Ernst,178
Erni,161
Ermel,195
Erman,166
Erie,180
Erez,194
Erev,166
Erdmenger,197
Erdi,201
Erde,185
Erbe,186
Eppinger,165
England,182
Engelmann,175
Engberts,195
Encarnacion,205
Emmerich,168
Emmart,215
Emiris,190
Emden,205
Ellozy,189
Eldridge,174
Eiter,192
Eiron,187
Einsfeld,182
Eickenmeyer,192
Egerstedt,176
Edelhoff,175
Ecklund,205
Ebeling,169
Eastman,178
Dymetman,179
Dusink,185
Dulli,151
Dulin,192
Dulay,189
Ducloy,192
Duclos,206
DuCasse,177
DuBourdieux,180
Driscoll,210
Dredge,200
Dratva,184
Douceur,174
Domenig,200
Dolinsky,174
Doering,203
Docker,194
DiGiano,177
Diderrich,190
Dichev,184
Deyuan,173
Deville,197
Deverell,179
Detkin,178
Desikan,204
Denti,188
Denos,173
Denny,175
Denna,184
Denis,165
Dengi,181
Demri,181
Demos,188
DeMori,205
Demke,175
Demizu,176
Demir,178
Demian,187
Demeyer,166
Delgrossi,188
Delgrange,179
Delgrande,188
Delaune,165
Dehkordi,183
Decleir,188
Dechter,156
Decaestecker,185
Debuse,183
Dayang,181
Dayana,163
dAstous,166
DasSarma,185
Danner,176
Danlos,185
Danley,187
Danecki,186
Dalton,162
Dalphin,181
Dahlbom,181
Daescu,195
Czap,190
Czaja,177
Cyre,175
Cyne,181
Cusworth,166
Curless,199
Cunliffe,177
Cummings,216
Cullers,176
Crouzet,185
Crooks,187
Cronin,180
Cronau,181
Cronan,181
Cromarty,167
Crelier,193
Crabtree,184
Covnot,180
Coullard,166
Couchot,162
Copas,163
Coors,204
Coorg,223
Coombs,176
Cooman,180
Cools,195
Cooley,175
Cooke,201
Conti,184
Conte,190
Conta,203
Constantine,194
Conry,169
Conia,196
Coney,175
Condotta,169
Conde,195
Comyn,171
Comte,173
Compeau,184
Comellas,181
Colorni,193
Collette,215
Collavizza,167
Codenie,184
Cochrane,193
Cmelik,183
Clouatre,201
Clemencon,173
Claffy,182
Ciolek,197
Cincotta,180
Cichocki,165
Chvatal,193
Christianini,180
Christ,193
Chorvat,180
Choobineh,174
Chleq,189
Chiola,179
Chiodo,181
Chinin,198
Chinen,177
Chinal,175
Chimia,206
Cheshire,183
Cherinka,192
Chepyzhov,196
Chenoweth,178
Chenney,209
Chelton,181
Chaudhury,184
Chaudhuri,181
Chartres,178
Chappelet,176
Chandrasekhar,185
Champarnaud,203
Chachaty,187
Cesareni,208
Castellani,171
Casperson,169
Casley,178
Carrere,196
Carrera,158
Cardazo,190
Cappello,175
Cappelli,185
Cappelletti,183
Capobianchi,178
Cannata,174
Cannard,186
Cannane,174
Cangellaris,211
Candan,193
Camurati,195
Camarinopoulos,193
Callaway,190
Calkin,160
Cairo,177
Caine,177
Byoun,191
Butterworth,168
Butner,193
Businaro,183
Busillo,182
Burnard,167
Bultermann,189
Bugrara,200
Bugaenko,165
Buescher,187
Budinsky,189
Buchter,182
Bruckman,191
Broomell,179
Brookner,199
Brookman,165
Brodie,201
Broder,181
Brodal,184
Brobst,194
Brlek,178
Brizzi,167
Bridgland,187
Brickell,178
Breugel,161
Bressoud,188
Bresenham,164
Brender,196
Brendel,185
Braunschweig,185
Braunmuhl,206
Brattka,185
Bratten,187
Bratsberg,173
Brandsma,191
Braccini,197
Boyle,197
Bouloucos,195
Boudaillier,217
Bottner,183
Botman,178
Borstler,196
Borovoy,185
Boreale,189
Bonifati,189
Bondorf,206
Bolsens,210
Bolotov,188
Bojadziev,187
Boissier,174
Boguraev,214
Bodoff,191
Blokdijk,165
Bisiani,162
Birta,195
Birsak,190
Birrer,180
Biros,173
Biron,173
Birnbaum,190
Birke,182
Birjandi,215
Birge,194
Birdsall,183
Birch,179
Biran,202
Binkley,178
Binding,180
Billingsley,187
Billawala,189
Bierman,187
Bierbaum,163
Bhattacharjee,198
Bharadwaj,160
Beznosov,187
Beutelspacher,180
Besselaar,188
Besancenot,182
Berztiss,179
Berstel,173
Bernini,178
Bernick,174
Bernatsky,193
Bernardinello,156
Bernardeschi,201
Bergere,175
Berendt,186
Benzmuller,187
Benzaken,165
Benveniste,178
Bennis,180
Bennet,205
Benner,158
Benantar,186
Benaini,167
Bellone,183
Bellmore,189
Belinskaya,187
Beilner,179
Beidas,173
Begiun,188
Beetstra,200
Beeson,172
Beerel,176
Bednarek,198
Beausoleil,175
Bazzichi,188
Bazelow,179
Baumann,155
Bauknecht,168
Bashian,181
Basawa,182
Basart,172
Basagni,194
Barvinok,185
Barriga,211
Barreiro,175
Barinka,165
Bardell,177
Barbanera,192
Baranowski,160
Bamford,178
Ballarin,180
Bale,182
Bala,189
Bakhtari,178
Baja,176
Bain,186
Bail,180
Baik,162
Baig,162
Bahr,191
Bahl,201
Bahk,192
Bahi,180
Bage,174
Baezner,190
Baez,182
Baer,192
Bael,180
Baek,188
Badr,169
Bade,172
Badache,170
Backhouse,189
Back,182
Bach,191
Baca,176
Baby,197
Babu,184
Babb,166
Baba,226
Baaz,192
Baar,189
Baalen,180
Baaleh,162
Baak,182
Azumi,191
Azuma,174
Azulay,179
Azevdeo,166
Azadmanesh,182
Axelband,155
Awdeh,187
Avouris,197
Auyong,200
Auria,182
Aumann,161
Attimonelli,178
Atrawala,175
Atchley,181
Asser,211
Assaf,174
Asrin,184
Asmuth,181
Ashish,190
Aseltine,177
Armand,176
Arlazarov,168
Ariola,182
Argence,204
Apsitis,192
Antonisse,196
Antonakopoulos,197
Anily,182
Anido,177
Anick,191
Anguita,161
Angot,178
Angiulli,177
Anger,190
Angelov,174
Angelopoulos,207
Angel,181
Androutsos,171
Andreotta,165
Ananiadou,160
Anandan,190
Ambroszkiewicz,173
Alvarado,175
Alpin,204
Alpay,183
Aloisi,164
Aloia,208
Alencar,170
Alblas,193
Albarhamtoshy,201
Alameldin,195
Akiyama,170
Akazan,207
Akaboshi,199
Aingworth,172
Adachi,221
Acton,189
Aamodt,205
